"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"4174","Mustang Robotics","119","187.3","1723","1882","34.5","99.5","53.3","0.64","-0.17","-0.34","2026hop","Hopper Division","8","31-10-0","0.756"
"2052","KnightKrawler","130","184.7","1719","1875","38.3","94.5","52","0.72","0.06","-0.34","2026new","Newton Division","8","36-9-0","0.800"
"5913","Patriotics","148","178.7","1709","1859","36.3","109.4","33","0.47","0.04","-0.34","2026gal","Galileo Division","8","34-13-0","0.723"
"2491","NoMythic","154","176.7","1706","1854","31.7","89.9","55.2","0.48","0.04","-0.34","2026gal","Galileo Division","8","34-11-0","0.756"
"7028","Binary Battalion","178","169","1694","1833","50.7","87.6","30.7","0.29","0.03","-0.34","2026cur","Curie Division","8","32-10-0","0.762"
"3276","TOOLCATS","233","154.1","1675","1793","36.6","87.5","29.9","0.59","-0.03","-0.34","2026new","Newton Division","8","25-15-0","0.625"
"6045","Sabre Robotics","314","135.7","1653","1745","15.4","76.4","44","0.45","-0.22","-0.34","2026cur","Curie Division","8","29-9-0","0.763"
"2472","Centurions","324","133.9","1651","1740","25.1","75.6","33.3","0.36","-0.09","-0.34","2026dal","Daly Division","8","26-17-0","0.605"
"3100","The Lightning Turtles","388","124.2","1639","1714","18","71.6","34.6","0.33","-0.13","-0.34","2026dal","Daly Division","8","27-14-0","0.659"
"2883","F.R.E.D (FIRST Robotics Eng...","412","121.6","1635","1707","22","68.2","31.3","0.58","-0.25","-0.34","2026dal","Daly Division","8","23-15-0","0.605"
"3293","OtterBots","418","121","1634","1705","25.7","63.2","32.1","0.51","-0.23","-0.23","N/A","N/A","N/A","23-7-0","0.767"
"4607","C.I.S.","422","120.9","1634","1705","28.1","64.8","28.1","0.22","-0.2","-0.34","2026gal","Galileo Division","8","16-16-0","0.500"
"5653","Iron Mosquitos","426","120.6","1633","1704","22.9","65.1","32.6","0.4","-0.2","-0.34","2026gal","Galileo Division","8","18-18-0","0.500"
"2846","FireBears","444","118","1629","1697","26.7","62.6","28.7","0.39","-0.11","-0.34","2026mil","Milstein Division","8","24-14-0","0.632"
"4728","ROCORI Robotics","459","116","1625","1692","13.1","63","39.9","0.32","-0.05","-0.34","2026arc","Archimedes Division","8","22-18-0","0.550"
"3297","Full Metal Jackets","468","115.3","1624","1690","25","61.4","28.9","0.33","-0.14","-0.34","2026hop","Hopper Division","8","29-15-0","0.659"
