Time,Match,Blue1,Blue2,Blue3,Red1,Red2,Red3
8:30 AM,Q1,2472,2846,7028,3276,7797,3100
8:39 AM,Q2,2847,4174,7858,5348,4674,2883
8:48 AM,Q3,5913,7257,2220,2052,4778,2169
8:57 AM,Q4,3297,3277,5653,4728,2480,3082
9:06 AM,Q5,11283,4741,6045,3130,4607,3293
9:14 AM,Q6,2239,2530,2491,3926,2503,3630
9:22 AM,Q7,3100,4778,5348,2169,2847,7797
9:30 AM,Q8,7257,4728,2052,4674,7028,7858
9:38 AM,Q9,3130,3297,3082,5913,2883,11283
9:46 AM,Q10,2530,2472,5653,6045,2239,3277
9:54 AM,Q11,2480,2220,2503,3926,4741,3276
10:02 AM,Q12,2491,3630,4607,3293,4174,2846
10:10 AM,Q13,11283,3130,7257,2847,3082,5348
10:18 AM,Q14,2169,5913,2239,4728,6045,4674
10:26 AM,Q15,2052,2883,2530,2480,3100,4741
10:34 AM,Q16,4778,3277,3926,2503,4607,2846
10:42 AM,Q17,3293,3630,3297,2472,3276,7858
10:50 AM,Q18,7028,2220,2491,7797,5653,4174
10:58 AM,Q19,2847,4674,2239,4741,2169,2530
11:06 AM,Q20,4607,3926,3100,5913,2052,3130
11:14 AM,Q21,3277,3630,3276,7257,2883,6045
11:22 AM,Q22,2846,3082,7797,7028,4728,2503
11:30 AM,Q23,7858,2480,4778,2472,2491,11283
11:38 AM,Q24,3297,5348,4174,5653,2220,3293
11:46 AM,Q25,3276,2052,2239,3277,3130,2847
11:54 AM,Q26,7797,5913,4728,7257,2530,3630
12:02 PM,Q27,3100,6045,2169,2491,7858,3082
12:10 PM,Q28,2846,11283,2480,2220,4174,4674
12:18 PM,Q29,2883,2503,2472,5653,5348,4607
1:30 PM,Q30,4778,3293,4741,3926,3297,7028
1:39 PM,Q31,7858,2169,3130,2530,7797,3277
1:48 PM,Q32,4174,2491,3276,3082,11283,2052
1:57 PM,Q33,3630,2847,4728,2220,4607,2472
2:06 PM,Q34,5348,6045,7028,2480,2239,3926
2:14 PM,Q35,4741,5653,2883,2846,4778,5913
2:22 PM,Q36,3293,4674,7257,3297,3100,2503
2:30 PM,Q37,4607,7858,2530,3082,3276,2220
2:38 PM,Q38,4174,3926,11283,4728,2472,2169
2:46 PM,Q39,4741,7028,5913,3277,5348,2491
2:54 PM,Q40,4674,3130,3100,3630,5653,4778
3:02 PM,Q41,2503,2052,2847,6045,2846,3297
3:10 PM,Q42,2883,3293,2480,2239,7257,7797
2:30 PM,Q37,2883,4674,2052,3630,3926,2239
2:38 PM,Q38,2847,2503,3276,3297,3293,3277
2:46 PM,Q39,2530,2491,7028,4174,6045,5348
2:54 PM,Q40,5913,3130,4778,2480,7797,2472
3:02 PM,Q41,3082,4674,2220,2847,7257,4741
3:10 PM,Q42,2169,11283,5348,2239,5653,4728
