Team,OPR,Hub Endgame Fuel Count,Hub Total Fuel Count,Hub First Active Shift Count,Hub Second Active Shift Count,Minor Foul Count,Major Foul Count
9470,321.90,69.04,317.15,90.31,67.58,0.34,0.56
1114,281.95,68.16,278.81,61.71,49.24,0.41,-0.23
27,269.27,63.97,265.40,59.06,56.17,0.00,-0.14
10021,241.04,70.10,240.82,71.92,48.44,0.16,-0.09
1868,240.24,52.49,237.03,68.67,53.64,0.15,0.13
971,233.63,61.48,234.95,67.46,58.45,0.62,0.42
2539,224.69,58.63,224.62,45.65,57.60,-0.02,-0.03
7166,222.67,55.23,226.64,58.54,45.28,-0.00,0.08
5940,222.61,70.25,217.99,46.88,38.39,-0.05,-0.20
4646,221.98,73.46,217.68,35.25,56.54,-0.14,-0.00
8608,220.20,57.05,222.41,58.12,38.51,0.36,-0.19
1241,219.32,64.42,216.01,46.49,37.90,0.01,-0.00
2106,218.79,36.01,204.07,52.86,62.70,-0.34,-0.05
1261,209.97,58.74,207.32,63.64,45.69,-0.01,0.21
3045,207.98,41.39,207.95,48.59,44.82,0.22,0.25
7407,203.76,69.78,201.06,56.85,31.67,0.50,0.21
103,201.68,85.96,190.27,51.27,54.56,0.07,-0.01
3476,192.49,33.69,188.57,50.35,38.69,0.27,0.35
2960,191.79,28.12,190.52,60.58,49.80,0.28,0.02
1189,190.79,37.23,186.29,55.27,43.65,0.51,-0.04
2767,181.36,25.08,177.42,47.04,40.55,0.85,0.50
9401,170.98,30.15,170.94,56.89,36.35,-0.10,-0.01
1619,169.61,47.20,166.90,29.60,28.40,0.34,-0.03
2137,169.24,45.47,162.25,44.33,28.61,0.19,-0.16
6459,169.16,30.20,166.90,31.99,57.66,0.30,-0.13
2075,168.65,52.09,168.46,36.48,48.52,0.08,-0.01
9032,168.00,37.51,166.50,41.85,45.05,0.18,-0.01
3572,165.01,49.27,161.06,31.95,43.01,0.72,-0.08
2583,164.65,36.98,165.30,43.19,34.42,-0.15,-0.13
5468,163.05,51.21,161.27,45.99,37.34,-0.06,0.03
3494,162.99,46.50,154.09,37.34,40.35,0.08,-0.29
4593,161.58,40.76,153.10,36.48,47.83,0.39,-0.09
3006,159.34,42.95,155.14,41.00,22.81,-0.07,0.00
4096,156.29,27.12,155.74,55.83,28.66,0.11,-0.02
9001,151.27,31.16,146.71,37.20,44.59,-0.08,-0.21
167,150.14,51.30,155.15,38.84,28.39,0.25,0.14
131,146.32,53.47,144.90,30.33,37.37,-0.15,0.05
548,144.42,52.62,143.09,36.63,29.45,0.15,0.19
1501,139.15,4.45,121.65,46.27,16.20,0.60,0.28
1218,138.82,26.39,131.99,38.90,38.60,-0.01,0.03
8884,138.33,29.15,140.23,35.59,37.44,0.13,0.24
3604,134.43,22.19,113.48,33.00,30.35,0.24,0.08
9084,128.06,43.42,125.85,24.80,51.09,0.00,-0.06
4272,126.39,31.89,121.32,32.82,22.05,0.10,-0.11
4403,122.45,27.19,119.42,26.41,34.36,0.15,-0.04
5010,115.70,36.11,107.87,24.19,27.51,0.63,0.20
2881,108.98,27.55,110.91,19.54,24.66,0.37,-0.16
5066,108.85,13.45,110.93,32.57,12.12,0.09,-0.13
6907,108.04,17.00,108.59,32.77,13.71,-0.17,0.79
1511,105.04,15.66,103.12,31.04,27.41,0.03,0.09
9126,102.87,20.11,99.66,23.32,31.42,0.08,-0.08
5665,98.29,21.21,102.68,31.26,23.44,-0.37,0.40
5338,96.77,48.03,94.57,4.72,33.84,0.53,0.19
1912,96.29,13.99,91.37,30.17,11.36,0.01,0.07
5801,95.45,29.17,87.40,22.86,26.55,0.25,0.22
5829,94.44,15.91,93.35,26.84,24.28,0.22,0.48
2851,93.41,35.13,93.00,27.54,14.80,0.44,0.03
2847,91.86,14.27,86.54,34.59,18.28,0.11,-0.02
1731,85.86,36.16,87.03,22.63,21.35,0.17,0.16
11387,84.40,2.32,81.98,28.49,27.99,-0.24,0.01
10015,80.23,18.38,77.85,5.94,24.41,-0.08,0.28
4728,78.89,34.17,76.13,11.81,29.26,0.30,0.09
9427,74.80,14.31,75.56,19.25,19.81,0.65,0.09
2826,73.49,20.12,77.01,30.99,11.70,-0.25,-0.18
11019,65.50,3.37,63.65,19.13,17.14,0.89,0.21
7525,65.45,21.29,62.04,16.62,15.47,0.84,-0.09
7598,59.79,19.43,61.01,11.24,21.69,0.91,0.11
1646,57.93,5.33,63.00,26.77,9.95,-0.13,-0.20
3284,44.66,-2.18,48.62,10.30,15.05,0.17,0.23
587,40.37,11.42,39.40,10.58,8.87,-0.03,0.14
1648,39.45,6.04,38.69,9.28,4.67,-0.13,-0.05
8817,36.09,8.64,37.13,12.84,10.28,0.61,0.09
11297,27.59,2.67,20.34,2.36,4.66,0.14,0.09
9771,19.62,8.68,22.55,4.34,-4.32,0.40,0.09
10162,14.36,8.21,20.48,-5.60,7.98,0.50,0.03
