Team,OPR,Hub Endgame Fuel Count,Hub Total Fuel Count,Hub First Active Shift Count,Hub Second Active Shift Count,Minor Foul Count,Major Foul Count
254,321.71,78.55,317.44,59.93,76.19,0.72,0.51
6800,313.95,84.22,314.72,87.47,71.97,0.12,0.56
125,310.32,74.24,306.09,76.87,74.43,0.02,0.27
6369,292.81,66.19,294.56,58.62,64.50,0.08,0.40
5907,283.26,95.85,281.76,73.02,72.43,0.45,0.06
5460,268.16,53.66,272.70,69.92,58.89,0.11,0.00
5193,262.79,62.63,254.25,66.24,56.58,0.36,0.28
9023,257.34,74.48,246.38,64.01,67.39,0.60,0.13
1987,241.54,45.08,245.15,72.34,60.04,-0.10,-0.04
5987,239.29,70.87,228.62,50.39,58.38,0.08,0.03
870,226.91,59.13,222.85,45.36,49.37,0.35,0.23
987,218.53,64.81,213.04,43.82,57.45,0.38,0.19
10254,211.27,48.06,209.95,54.32,71.00,0.34,-0.39
5199,204.48,61.42,206.65,50.08,39.17,0.23,-0.18
7028,202.34,37.08,200.25,39.11,33.25,-0.28,0.16
3197,195.05,44.84,194.72,57.87,48.36,0.19,0.18
2724,187.07,40.15,182.17,46.74,50.60,0.20,0.57
3181,182.68,39.13,175.52,50.10,41.58,0.65,0.30
3128,177.42,38.32,174.39,53.35,39.66,0.61,-0.18
3847,176.09,31.42,166.36,56.83,35.21,-0.03,0.43
4611,174.81,42.84,169.93,39.89,43.98,0.57,-0.14
2992,166.88,51.78,165.68,25.08,50.43,0.24,0.03
1714,166.27,38.10,153.86,30.39,49.33,0.19,-0.03
1498,165.08,51.13,167.01,38.46,37.39,0.40,-0.03
6615,162.56,36.56,154.84,45.73,31.89,0.04,0.23
2412,160.89,37.62,158.73,42.79,27.82,0.11,-0.00
571,158.42,42.54,156.24,39.10,32.01,-0.03,0.54
8595,156.29,28.84,154.46,50.29,37.52,0.03,-0.12
7565,156.24,45.74,152.51,38.50,38.19,0.17,0.05
9068,156.17,39.16,146.57,29.46,46.34,0.82,0.57
8613,155.63,37.73,149.01,40.24,49.64,0.35,-0.09
6366,151.68,50.24,153.99,41.11,48.42,-0.07,0.14
9609,148.21,21.68,149.89,48.75,33.09,0.48,0.58
1024,145.89,51.93,138.32,28.06,37.24,0.23,-0.19
5572,144.75,31.40,145.54,49.42,38.66,0.14,0.44
7421,143.14,34.25,137.55,32.87,31.24,0.14,-0.09
294,138.74,35.92,133.45,28.13,36.72,0.11,0.46
6417,134.92,28.76,134.97,51.30,32.29,0.38,-0.02
6773,130.81,31.46,131.47,35.66,36.76,-0.34,0.19
59,126.42,16.67,125.26,28.49,31.78,0.24,-0.33
6497,124.97,35.69,130.20,42.74,37.07,0.08,0.59
6045,124.42,47.30,115.70,28.67,35.26,-0.05,0.16
5712,119.32,36.14,113.38,23.82,26.40,0.40,0.07
6413,119.31,31.73,112.17,28.01,26.94,-0.00,0.30
10349,118.49,17.33,117.28,37.18,31.71,0.11,0.12
166,117.11,13.04,116.06,34.53,20.22,0.05,0.04
1477,111.08,16.28,110.55,39.38,7.14,0.28,-0.16
5166,110.83,22.78,105.16,25.02,30.20,0.56,0.34
6510,99.10,35.64,95.39,18.94,23.70,0.47,0.11
4027,94.95,57.90,84.99,21.77,9.86,0.24,-0.06
3932,92.97,14.04,74.50,7.56,18.04,-0.37,0.21
2053,86.07,25.26,86.45,20.73,8.68,-0.05,0.34
7539,84.42,32.15,86.51,27.74,10.08,-0.04,0.43
8725,82.32,-4.80,70.86,35.89,7.34,0.10,0.37
302,80.19,3.44,83.65,21.77,26.15,0.15,-0.27
7567,79.55,32.46,74.44,18.69,25.07,-0.20,0.27
4786,75.07,11.68,70.30,28.71,9.59,-0.22,-0.13
2443,73.69,22.20,65.03,6.65,21.49,0.48,-0.22
2357,70.35,19.29,71.62,17.41,15.92,0.23,-0.07
9200,68.76,13.73,66.40,20.27,13.42,1.16,0.61
2637,65.92,18.61,63.37,13.79,9.90,0.25,0.20
8575,65.36,4.86,71.60,23.48,18.92,-0.19,0.27
589,56.19,30.77,50.22,5.91,10.45,-0.30,-0.14
1684,54.53,20.05,55.44,15.72,13.05,-0.29,-0.09
10922,51.16,-1.36,47.43,-1.35,23.74,0.15,0.02
9077,50.13,-0.85,54.18,21.03,17.47,-0.20,0.31
8280,43.94,16.46,39.92,23.67,14.24,0.17,0.27
4256,42.57,7.80,37.89,7.49,6.58,0.59,0.27
2682,39.63,10.16,33.85,4.05,13.88,-0.12,-0.14
3792,35.44,-0.93,36.01,5.29,6.03,0.26,0.51
9066,35.12,-4.96,25.55,8.47,3.98,-0.08,-0.13
11318,22.21,-0.35,18.16,6.82,1.72,-0.26,-0.23
11167,7.00,5.29,9.21,-5.34,-10.99,0.12,-0.18
11304,-23.15,-21.25,-28.34,-11.14,-0.10,-0.13,0.59
