Team,OPR,Hub Endgame Fuel Count,Hub Total Fuel Count,Hub First Active Shift Count,Hub Second Active Shift Count,Minor Foul Count,Major Foul Count
2056,339.00,44.91,330.02,83.56,63.94,0.12,-0.14
1706,314.96,70.07,314.51,91.65,85.12,0.46,-0.04
9785,288.30,62.39,281.45,85.88,74.53,0.04,0.04
8044,287.66,72.05,285.43,85.72,53.09,0.81,0.09
6329,273.27,52.50,271.20,57.67,55.13,0.04,0.10
581,265.42,80.63,271.41,42.73,63.76,0.25,-0.10
3467,256.56,72.03,253.87,55.34,69.94,-0.09,0.13
1732,248.94,59.08,244.42,56.82,62.63,-0.16,-0.01
5000,240.39,64.21,242.78,62.87,50.93,-0.00,0.21
8749,229.25,47.30,226.47,54.32,45.90,-0.25,-0.13
1701,227.77,45.90,223.99,81.55,47.04,0.21,0.11
4698,224.38,47.86,216.07,54.20,53.30,-0.00,-0.08
8214,219.62,33.21,211.28,48.24,49.12,0.48,0.35
1296,219.51,75.97,218.12,47.67,55.59,0.02,-0.04
4174,215.03,64.08,215.05,48.71,47.07,0.40,-0.09
3641,212.87,68.32,216.38,54.90,44.63,0.22,0.05
8513,211.70,40.64,204.39,65.83,28.21,0.15,-0.16
3015,199.82,52.92,199.14,63.50,47.30,0.03,0.18
8267,198.89,56.07,195.67,52.26,53.05,-0.05,-0.16
11270,193.70,48.25,190.86,44.71,41.17,0.71,0.06
238,188.98,55.14,178.10,47.56,56.94,-0.10,0.28
503,185.12,36.14,185.16,61.30,43.22,0.30,-0.04
5406,180.24,39.32,176.35,36.97,56.99,0.14,0.02
9692,178.90,59.98,179.63,52.32,41.61,0.41,0.32
10131,175.79,46.59,178.05,43.68,38.40,0.53,0.23
1710,174.96,13.98,166.08,62.03,29.63,0.48,-0.09
6328,172.75,24.56,171.45,28.03,22.85,0.01,0.79
4143,168.60,19.93,170.48,42.08,30.73,0.07,0.28
494,164.47,55.63,167.94,45.55,44.73,0.02,-0.35
6517,164.26,30.91,156.91,33.96,42.59,0.65,-0.18
1787,162.12,37.92,160.56,31.71,33.55,0.51,-0.05
3035,155.26,50.59,158.45,32.05,37.48,0.18,-0.13
1986,155.14,21.20,154.45,39.80,39.12,0.16,0.09
401,154.43,41.60,150.74,35.94,41.42,0.40,0.55
6152,151.14,31.16,152.21,40.59,57.09,-0.12,-0.27
3512,149.05,55.02,142.96,40.00,31.32,0.27,0.04
2659,147.52,34.24,145.70,41.14,35.87,-0.23,-0.21
188,140.75,39.77,142.93,31.91,54.15,0.78,0.12
5454,137.25,20.62,134.31,38.72,33.69,0.56,-0.05
8005,136.11,20.93,132.66,25.78,43.78,0.06,-0.19
761,132.92,26.34,119.01,37.31,7.66,0.31,-0.03
4613,130.68,48.84,133.37,38.62,40.33,-0.11,-0.09
2220,128.98,38.89,125.34,29.64,35.01,0.36,-0.32
573,128.76,39.99,124.73,26.81,36.05,0.20,-0.10
5086,124.52,38.54,123.64,31.80,35.76,-0.12,0.39
3297,124.09,31.40,122.34,33.78,16.46,0.39,0.13
910,117.13,16.19,117.12,44.86,13.18,0.32,-0.31
2486,114.50,33.85,111.08,27.28,26.66,0.53,0.72
2383,113.03,43.15,113.30,26.71,18.03,-0.06,0.51
6121,112.44,6.79,111.14,23.02,35.23,0.10,0.26
11118,110.69,20.22,105.39,23.02,43.40,0.19,0.43
7287,107.86,12.06,84.13,19.82,26.79,-0.10,-0.12
4201,107.23,40.14,107.00,28.35,28.18,0.30,0.05
3506,105.38,34.73,108.29,15.83,25.21,0.08,-0.12
1625,105.36,40.74,108.36,19.07,29.74,0.20,0.04
11493,92.02,32.10,91.18,31.59,11.56,0.11,0.22
6639,88.54,13.62,91.96,24.06,24.37,0.20,-0.11
1259,85.11,35.32,81.44,12.36,15.79,0.29,0.29
1014,83.18,29.70,78.71,16.32,21.58,0.39,0.48
2102,81.46,35.87,86.97,21.19,26.68,-0.23,0.33
3175,78.08,18.05,79.51,27.05,8.00,0.10,0.27
9449,72.88,21.83,75.70,20.41,12.73,0.52,-0.12
2834,64.68,17.57,63.33,19.95,11.04,0.13,0.19
2607,64.60,21.21,61.12,10.47,8.43,0.21,-0.03
7451,59.08,-4.01,58.80,21.72,19.51,0.35,-0.17
2199,57.05,20.46,59.13,19.59,9.64,0.43,-0.10
3539,55.05,6.41,39.34,1.34,10.64,0.08,0.36
4191,45.16,19.49,36.85,15.91,8.58,0.18,-0.30
540,36.59,17.44,36.67,-4.03,1.30,-0.18,0.55
1287,34.58,1.33,22.56,13.82,-10.89,-0.29,0.14
11024,26.06,12.86,29.76,16.99,-9.00,-0.30,0.24
5348,15.32,3.71,7.43,-0.75,8.54,-0.19,0.10
10907,2.00,-11.98,0.46,3.62,3.16,-0.24,0.36
6200,-1.95,-10.57,-2.59,1.51,-3.09,-0.00,0.45
