Team,OPR,Hub Endgame Fuel Count,Hub Total Fuel Count,Hub First Active Shift Count,Hub Second Active Shift Count,Minor Foul Count,Major Foul Count
7558,326.83,72.04,312.48,79.10,72.13,0.48,-0.31
117,274.67,70.01,277.33,82.22,81.26,0.48,0.23
67,265.69,77.31,268.02,67.53,66.19,0.23,0.78
4522,259.85,50.76,257.69,62.21,50.73,0.62,0.14
3255,247.53,62.90,241.31,55.71,62.05,0.92,0.15
498,225.22,16.54,223.56,59.92,41.69,0.25,0.39
4391,224.18,64.95,218.41,53.66,55.51,0.65,-0.03
5026,212.84,47.16,204.10,62.29,34.69,-0.01,0.12
836,210.37,51.38,200.91,47.19,52.36,-0.45,0.23
3414,209.73,51.32,212.17,56.14,52.45,0.69,-0.32
1002,199.79,30.29,201.17,68.14,37.99,0.41,0.23
2877,198.49,42.56,191.01,50.21,55.13,0.33,0.14
3620,194.28,50.64,187.38,46.88,47.56,0.51,0.17
360,193.50,48.72,189.83,66.79,48.48,0.26,-0.17
4946,190.22,36.14,186.85,36.47,41.86,0.49,0.35
9072,188.52,56.98,182.38,42.35,62.84,0.58,0.01
33,187.96,72.23,190.13,53.12,43.27,-0.44,-0.13
6324,184.67,54.28,181.87,41.98,58.67,0.67,-0.45
179,184.52,48.65,177.88,52.28,45.60,-0.15,0.14
9597,180.27,40.50,178.57,47.00,43.75,-0.05,0.37
2337,179.38,35.14,180.60,57.58,40.10,0.19,0.33
10340,177.25,35.94,174.40,47.15,39.73,-0.26,0.05
1792,176.85,41.85,173.54,54.91,25.64,0.11,-0.02
48,176.40,51.97,174.04,47.95,44.82,0.46,0.07
190,171.40,56.46,172.79,43.83,35.04,0.33,-0.04
9483,168.89,24.14,169.75,43.53,28.07,0.27,0.11
1306,164.72,53.84,163.44,64.60,40.84,0.25,-0.12
3536,162.97,29.23,158.02,59.14,33.16,-0.11,0.38
3061,160.09,15.56,154.22,49.84,30.06,0.29,0.29
4451,157.66,61.30,155.77,36.61,37.23,0.40,-0.19
7220,155.74,37.23,160.11,42.45,27.22,-0.40,0.54
4635,154.07,40.81,156.30,47.14,17.85,-0.15,0.09
8612,151.18,17.01,141.52,43.13,40.86,0.26,-0.11
118,150.01,33.82,140.41,39.15,27.50,0.13,0.49
8,149.19,26.91,147.46,44.60,21.35,0.42,0.26
2252,137.08,33.45,124.05,24.24,34.17,0.02,-0.10
2619,135.59,38.79,121.86,25.86,34.34,0.23,-0.08
1908,133.08,39.22,132.34,35.35,36.91,0.84,0.31
2848,129.61,39.59,124.79,31.79,37.71,-0.17,-0.01
955,124.44,21.42,119.72,45.10,12.18,0.35,0.55
1073,123.77,47.57,114.05,17.00,25.76,0.22,0.07
422,120.87,24.75,120.34,26.33,22.88,0.55,-0.12
2638,120.72,17.05,111.70,18.42,27.84,0.68,0.11
9484,118.74,30.43,116.60,22.14,28.53,0.56,0.14
7563,113.32,39.80,110.74,17.36,27.78,0.16,0.07
2040,112.62,36.60,112.59,24.18,26.82,0.26,-0.07
2522,105.86,35.81,90.45,3.22,22.59,0.14,-0.05
10014,100.19,42.07,94.74,19.20,13.49,0.26,0.23
6829,99.05,18.80,97.55,28.47,28.68,0.93,0.16
3603,99.02,47.49,100.11,20.25,25.52,0.12,-0.16
245,94.08,13.70,86.72,29.84,13.65,0.65,0.26
6766,92.96,31.55,90.99,17.41,15.20,-0.03,0.14
619,92.60,23.58,84.94,30.86,5.64,0.28,-0.04
9277,89.76,35.58,84.89,13.27,26.70,0.00,0.27
1076,85.69,9.79,82.28,23.31,24.43,0.33,0.09
9757,85.33,24.25,86.01,23.27,23.55,-0.07,0.14
4967,85.05,32.24,85.08,10.13,27.06,0.45,0.08
3630,80.29,11.56,73.17,28.14,4.83,0.28,-0.17
7257,70.20,13.39,57.62,16.77,10.85,0.52,0.30
3770,69.85,5.23,50.42,14.54,20.99,0.41,0.22
2704,66.63,10.72,62.38,16.04,16.96,-0.14,0.01
5968,66.38,28.56,56.68,8.21,-2.32,-0.23,0.18
9646,61.96,14.50,55.33,17.53,26.85,0.10,0.73
334,57.79,9.98,56.06,5.80,22.13,-0.05,-0.15
7403,57.48,19.65,51.91,1.00,18.01,0.06,-0.01
321,48.30,24.80,46.54,-7.69,13.05,0.81,0.38
10396,47.77,3.21,49.63,18.02,8.55,-0.20,0.25
10217,46.18,4.86,43.57,15.91,2.19,0.45,-0.01
6940,41.07,15.68,33.86,-1.76,8.44,0.34,0.06
11269,26.44,5.20,21.66,-3.13,7.82,0.16,-0.12
6652,19.56,-3.42,20.30,10.13,7.64,-0.12,0.18
7551,12.60,2.34,10.47,0.06,2.52,-0.07,0.29
2096,0.21,-9.84,5.41,-3.05,-5.13,0.39,0.38
10114,-1.86,-0.03,-0.69,0.91,-12.18,0.12,0.25
772,-38.01,-7.32,-36.61,-17.22,-12.73,0.14,0.16
