Team,OPR,Hub Endgame Fuel Count,Hub Total Fuel Count,Hub First Active Shift Count,Hub Second Active Shift Count,Minor Foul Count,Major Foul Count
2481,297.50,71.72,290.46,66.09,60.60,0.35,0.05
1678,290.57,74.62,283.29,67.50,62.60,0.00,0.33
2122,245.32,63.44,238.11,43.01,67.14,0.38,-0.09
7457,244.65,41.32,237.71,60.30,71.55,0.56,-0.06
4089,239.99,55.48,238.07,55.62,61.46,0.15,-0.10
4481,236.04,47.01,240.50,71.63,57.50,0.38,0.55
4499,233.43,57.29,230.25,55.75,33.68,0.06,0.10
2200,224.11,37.57,216.44,52.63,39.67,0.51,0.25
694,219.47,41.46,209.57,62.06,50.15,0.44,-0.25
359,213.90,56.04,205.03,59.66,40.42,0.95,-0.30
6090,213.44,71.98,212.90,52.72,37.33,0.57,-0.02
3707,210.47,74.54,208.50,52.55,58.60,0.13,-0.07
7426,209.60,62.81,204.77,49.36,46.94,0.99,-0.22
4476,202.47,55.56,200.26,54.33,59.27,0.30,0.21
6002,201.95,41.11,199.92,41.62,48.62,0.28,0.06
287,195.70,54.23,193.31,49.05,56.34,-0.05,-0.04
1640,193.27,57.38,186.13,58.87,41.07,0.16,0.05
201,188.24,46.35,190.32,56.66,41.77,0.32,-0.32
2630,185.07,14.41,179.75,52.18,52.87,0.86,0.11
4915,182.58,33.41,178.73,51.56,49.43,0.29,1.07
68,181.92,51.35,179.39,43.06,42.91,0.05,-0.03
686,179.09,48.44,172.86,47.63,33.15,0.55,0.29
4421,176.33,36.56,170.96,50.85,40.17,0.65,-0.08
1771,173.28,16.00,168.57,51.51,30.78,-0.44,-0.26
7039,171.07,30.88,157.04,45.65,37.25,0.61,-0.17
4362,157.51,38.25,158.79,62.35,34.53,0.34,0.45
2905,156.60,30.24,155.68,43.50,24.53,-0.12,0.23
2846,147.60,44.84,146.01,32.46,36.54,1.08,0.16
6238,143.45,16.57,123.50,32.59,13.92,0.12,0.01
2974,139.66,47.17,132.06,30.68,15.98,0.03,0.29
4907,139.45,19.90,100.79,26.89,16.16,-0.09,-0.25
3928,137.71,38.93,132.35,27.38,33.05,0.01,0.29
9140,135.12,28.58,133.09,35.87,35.05,-0.36,0.20
4122,130.15,47.57,125.26,29.52,28.54,-0.06,0.29
5462,128.63,34.39,126.91,42.89,28.23,0.63,-0.31
2601,127.18,18.39,126.82,48.48,22.52,0.08,0.01
4270,124.24,25.09,121.00,35.50,36.25,0.74,0.29
1671,123.88,37.13,113.50,34.71,29.42,-0.18,0.25
7250,123.71,32.45,115.63,32.59,37.74,0.01,0.13
4795,123.52,36.87,122.93,41.71,15.94,-0.27,-0.24
4905,121.34,21.65,121.06,36.09,31.54,-0.05,-0.26
9635,120.34,39.75,118.24,30.99,23.31,-0.60,-0.12
10633,116.29,21.30,111.77,42.15,31.75,0.37,0.04
70,114.30,36.52,113.33,22.09,30.37,-0.15,0.31
263,112.14,41.24,115.10,16.60,43.19,0.20,0.35
3637,110.64,43.87,114.01,28.52,26.37,0.15,0.22
3075,110.49,6.55,112.85,37.29,13.45,-0.22,0.30
3277,106.91,38.93,104.89,11.00,27.25,0.37,0.12
7890,102.42,42.96,100.04,14.08,24.21,0.16,0.88
8020,101.79,20.51,99.46,37.58,15.75,0.88,-0.00
8429,100.52,35.57,105.85,23.68,19.83,0.09,-0.11
8808,98.31,15.24,96.10,28.83,24.20,0.02,0.62
353,94.76,27.29,93.28,14.49,7.66,0.12,0.03
8873,85.28,23.70,87.84,34.92,27.84,0.48,0.10
6989,80.22,24.95,83.95,24.62,13.58,0.18,0.67
6925,79.05,25.37,77.43,28.42,20.29,-0.03,-0.07
3245,74.37,8.61,66.98,25.17,27.36,0.01,0.09
3419,66.17,15.14,51.54,14.25,7.75,-0.28,0.63
343,64.70,15.64,70.54,20.67,19.71,-0.22,0.16
3492,55.94,10.00,56.73,6.57,9.36,0.23,0.43
7594,55.01,17.98,55.12,16.68,14.01,0.05,1.15
2169,50.99,7.37,47.70,19.69,18.00,0.31,0.13
2333,45.38,4.97,48.28,22.04,5.88,0.25,0.21
2403,44.98,12.86,47.81,16.66,-13.46,0.35,0.34
10101,39.22,3.99,37.47,12.52,16.98,0.63,0.03
5985,38.27,-6.63,39.25,8.47,13.12,-0.17,-0.43
11065,31.74,9.89,31.06,-2.09,11.40,0.46,-0.45
2811,27.65,7.82,21.94,-4.43,-2.91,0.08,-0.23
7763,24.70,-9.49,22.23,7.46,7.69,-0.10,0.10
9644,19.23,-9.56,14.03,-14.15,24.11,-0.26,-0.19
10604,18.09,15.33,19.78,-2.25,11.28,-0.08,0.32
10950,-1.66,7.02,-11.92,-12.09,-8.96,0.15,0.25
7717,-3.54,2.75,-1.71,-1.90,0.33,0.29,-0.26
8158,-7.29,3.12,-7.86,-6.06,-4.21,-0.04,0.51
