Team,OPR,Hub Endgame Fuel Count,Hub Total Fuel Count,Hub First Active Shift Count,Hub Second Active Shift Count,Minor Foul Count,Major Foul Count
2491,181.64,53.33,180.59,53.10,48.80,-0.20,-0.13
4174,178.26,42.09,167.93,46.36,40.06,0.80,-0.12
3297,131.13,18.80,132.46,42.96,32.24,-0.04,-0.28
2823,111.45,23.75,111.77,33.83,28.76,-0.05,0.04
4778,110.39,27.89,98.68,27.06,30.28,0.02,0.20
2530,104.73,23.72,104.50,37.51,27.21,0.11,0.29
2509,91.23,17.87,88.87,29.22,18.79,-0.36,-0.12
2846,83.36,15.51,77.08,17.12,6.20,0.01,-0.03
3082,78.18,21.07,81.38,22.88,18.95,-0.03,-0.18
2181,78.06,14.41,74.23,15.98,27.88,-0.00,-0.22
5690,76.33,15.43,70.97,16.35,21.19,0.12,-0.09
2855,75.47,15.28,71.91,25.01,16.15,-0.22,-0.15
4539,74.82,14.82,68.62,18.09,20.03,0.41,-0.08
4215,58.35,12.37,58.85,15.13,21.60,0.02,-0.23
4009,58.04,25.79,55.67,6.69,17.09,0.35,-0.26
4663,54.61,12.52,35.25,8.36,8.00,0.44,-0.23
8234,54.11,10.89,54.39,14.87,15.43,0.53,0.12
3926,48.56,18.25,50.03,9.54,11.03,0.15,0.50
4536,45.85,6.14,34.68,16.21,3.32,0.03,0.45
3880,42.52,8.46,43.11,13.88,16.15,0.33,-0.01
2480,40.75,-0.91,31.73,12.91,4.28,0.21,-0.18
7068,38.68,2.56,20.31,0.29,10.89,0.07,0.32
7530,37.25,6.19,38.40,6.61,6.27,-0.02,0.49
8422,30.27,9.62,29.62,5.67,8.40,-0.02,0.07
3454,29.23,10.15,28.40,8.71,5.95,-0.15,0.16
3038,29.18,11.95,30.83,5.74,6.34,-0.18,-0.06
2667,28.07,9.31,31.71,9.23,0.29,0.21,0.01
2470,27.39,9.05,24.84,8.08,4.16,0.68,0.10
3407,27.21,14.01,33.33,4.74,6.01,-0.10,0.08
2508,26.58,8.35,22.14,-2.66,5.85,0.11,0.52
7235,26.27,-2.65,14.38,6.16,3.72,-0.08,0.10
4207,25.51,11.92,25.96,-2.85,9.86,-0.12,0.16
2177,25.08,2.41,17.02,7.34,2.70,0.22,0.54
3871,24.00,2.61,23.16,8.57,5.27,0.44,-0.20
5278,21.32,1.61,23.03,3.92,9.35,-0.17,0.24
7849,20.93,10.18,23.88,4.94,2.58,0.06,0.50
2531,16.49,3.92,20.58,5.76,5.24,-0.21,0.30
7850,14.53,2.10,6.55,-4.46,5.39,-0.03,0.19
4277,14.26,6.59,14.29,1.87,-0.24,0.51,0.10
4230,12.95,2.37,3.30,-2.07,-3.65,0.10,0.36
5929,10.37,-6.30,-3.15,-3.65,-0.52,0.14,-0.10
4859,10.19,2.92,15.26,-2.08,6.78,0.14,0.67
4664,8.77,5.04,6.91,0.51,-2.10,-0.31,0.00
5143,7.22,-3.87,0.54,1.28,4.40,0.01,-0.06
2450,6.01,-4.50,4.44,-2.34,2.29,-0.06,0.15
4229,5.99,2.37,12.39,2.09,-6.33,0.39,0.06
3745,5.83,3.57,3.57,-5.43,3.15,0.21,0.09
2239,4.78,2.88,6.49,1.95,-6.80,0.06,-0.04
4225,-0.03,9.08,4.90,-3.20,1.69,0.14,-0.28
4239,-1.18,5.19,-2.15,-8.50,1.13,0.47,-0.01
7019,-10.41,5.40,-8.79,-9.79,-1.31,0.80,-0.22
