Team,OPR,Hub Endgame Fuel Count,Hub Total Fuel Count,Hub First Active Shift Count,Hub Second Active Shift Count,Minor Foul Count,Major Foul Count
6045,192.84,53.29,186.34,60.57,44.79,-0.04,0.06
876,163.34,26.93,157.43,55.43,30.03,0.01,-0.14
2883,154.25,35.49,153.17,45.30,42.96,-0.05,-0.13
7028,148.42,36.04,145.99,34.75,44.07,0.27,0.35
3276,143.99,16.99,141.93,50.23,40.70,0.17,-0.08
8255,140.26,42.22,137.09,41.21,35.58,-0.15,-0.03
4728,139.85,30.43,132.37,42.28,37.25,0.00,0.08
5913,139.28,31.80,135.47,42.18,39.54,0.18,0.12
3018,113.16,31.35,114.71,29.40,34.70,0.22,-0.04
4607,110.19,33.37,112.60,35.46,24.54,-0.05,0.37
6175,108.69,23.89,106.62,31.06,24.73,0.17,0.35
2509,107.33,34.64,104.61,33.25,25.19,0.16,0.06
2503,98.31,22.99,100.95,24.59,29.79,0.17,-0.08
4687,89.95,11.70,83.53,24.41,19.26,-0.16,0.03
7578,83.83,5.55,84.60,34.54,26.57,0.18,0.03
5837,73.59,24.96,72.26,9.37,16.06,-0.12,-0.07
5348,68.42,18.98,65.61,11.82,17.34,0.30,0.07
6709,67.57,22.19,65.48,13.48,14.23,0.19,0.34
2470,51.88,13.72,52.71,11.01,18.73,0.40,-0.03
7541,47.81,5.78,50.94,13.94,13.52,-0.14,0.05
3026,44.83,23.19,41.64,4.25,16.05,0.11,-0.03
7677,42.51,9.15,41.82,5.65,16.97,0.10,0.21
8821,41.88,8.23,46.01,13.08,11.56,-0.02,0.03
2977,41.52,18.87,38.70,5.96,7.43,-0.07,0.07
8516,39.68,5.21,33.31,6.83,9.38,0.46,-0.07
10173,39.02,17.00,33.41,2.18,7.02,-0.09,-0.04
4511,37.57,1.61,32.17,9.74,7.30,-0.09,-0.05
4360,37.55,14.07,40.72,7.63,3.38,0.01,-0.10
7048,37.29,17.92,39.19,10.81,7.54,-0.00,-0.18
4238,36.27,11.02,33.82,6.07,8.56,0.05,0.08
4226,35.96,0.23,33.50,7.70,10.05,-0.01,-0.11
2987,34.28,6.38,35.27,10.44,2.44,-0.07,0.00
1816,32.72,7.00,34.25,4.78,14.14,-0.03,0.23
4632,32.43,8.57,34.74,9.99,7.77,0.20,-0.06
2512,30.62,3.11,26.49,8.55,14.53,0.43,-0.04
8887,28.03,7.55,27.00,9.17,6.74,0.08,0.03
7038,25.20,4.92,25.13,2.66,0.04,0.09,0.26
6628,23.68,11.61,23.39,8.51,3.54,-0.08,-0.03
4182,19.47,2.17,14.44,-6.96,5.12,0.03,0.16
3610,11.14,3.12,11.29,-0.66,5.35,0.05,-0.05
4480,9.97,7.50,8.89,0.12,-6.15,0.34,-0.05
3740,1.71,3.46,1.37,-3.80,-2.15,0.26,-0.11
5541,0.73,-7.22,-2.84,0.29,-3.03,-0.04,0.31
3023,-3.54,-0.16,-3.35,-9.28,5.29,0.15,-0.08
8188,-3.58,-6.72,-8.46,-7.54,-8.07,-0.07,-0.00
2511,-4.13,2.78,-3.65,-6.44,-5.96,0.39,0.08
2538,-6.96,-5.57,-6.46,-2.32,-2.39,-0.07,0.03
6244,-7.90,-10.91,-8.87,4.84,-3.44,-0.31,0.19
8372,-11.93,-1.82,-8.58,-1.10,-0.55,-0.04,0.04
5232,-12.47,-9.53,-12.33,2.12,-3.55,-0.05,0.19
3848,-19.10,-4.64,-17.19,-6.16,-7.87,0.09,0.01
