Team,OPR,Hub Endgame Fuel Count,Hub Total Fuel Count,Hub First Active Shift Count,Hub Second Active Shift Count,Minor Foul Count,Major Foul Count
4655,190.56,43.75,190.24,58.52,39.37,-0.10,-0.02
2052,185.05,37.36,183.61,58.85,36.48,0.08,-0.08
3293,150.64,31.97,133.95,45.79,40.17,0.08,0.03
3100,145.40,41.22,144.58,30.96,47.57,0.28,0.03
2472,140.48,47.47,136.46,34.40,35.49,0.15,-0.06
3130,125.48,24.39,125.53,39.92,31.18,0.07,-0.13
8234,104.90,25.12,103.05,28.43,26.97,0.15,0.09
6147,91.86,21.09,91.37,29.89,16.51,0.24,0.02
2549,89.07,13.92,90.41,35.66,18.62,-0.04,0.53
4198,83.61,13.98,81.37,34.35,22.65,-0.05,0.00
2502,73.73,19.28,71.91,25.90,17.50,-0.12,-0.09
2264,72.87,21.06,72.80,16.91,13.15,0.49,-0.02
2175,65.79,15.68,67.49,24.40,18.45,0.38,0.00
3891,65.02,14.43,60.67,15.11,19.02,0.06,0.09
10479,63.17,9.56,63.18,20.71,15.43,0.01,-0.01
5434,58.69,8.75,55.80,17.57,11.97,0.16,0.21
3883,57.11,8.34,50.56,13.70,7.27,-0.02,-0.19
10490,55.04,13.71,53.98,12.74,15.38,0.08,-0.08
8878,51.12,12.36,46.10,9.87,14.27,-0.03,0.00
3206,48.86,19.94,50.02,9.85,10.58,0.18,-0.03
2498,47.87,18.95,48.55,3.11,11.03,-0.14,-0.05
2526,47.34,6.09,49.00,19.61,12.23,0.00,0.04
2129,44.30,16.56,42.72,6.15,7.96,-0.00,0.12
3630,36.70,4.58,36.46,6.35,13.71,0.07,0.28
3042,35.77,16.09,36.42,5.59,4.59,0.01,-0.05
5464,32.53,9.00,30.49,1.52,10.76,-0.03,-0.16
10950,29.31,7.19,28.54,5.21,5.02,-0.04,0.21
2500,26.27,10.46,25.84,3.30,6.69,0.23,0.27
2207,23.73,2.79,6.36,-4.63,2.21,-0.00,0.07
6909,19.94,5.13,15.93,3.33,3.21,-0.06,0.18
5271,18.76,-2.17,16.14,6.72,5.97,-0.00,0.03
7273,17.29,13.27,20.27,0.61,5.86,-0.04,-0.14
5996,17.08,8.25,14.54,0.08,-1.66,-0.10,0.05
2225,13.38,6.43,13.95,-0.71,6.49,-0.04,-0.14
3691,13.11,-4.58,7.02,3.09,-0.40,0.01,-0.12
9157,10.27,5.05,11.30,-2.94,8.34,0.06,0.05
2574,4.91,-9.85,8.34,4.31,1.78,-0.07,-0.04
2518,2.69,5.69,2.84,-1.69,-3.47,-0.06,0.26
6217,0.58,2.42,1.29,-7.53,5.53,0.06,0.06
4166,0.19,-4.05,2.35,2.01,-2.08,-0.09,0.29
8787,-1.86,2.68,-2.72,-0.25,-8.84,0.01,-0.12
3291,-2.54,-5.18,-3.89,-0.85,-1.23,-0.08,0.04
2513,-2.55,-0.65,-0.85,-5.71,-3.38,-0.03,0.15
2169,-2.62,1.24,-0.38,-3.33,-0.15,-0.04,0.09
2606,-6.95,3.55,-6.28,-6.02,-7.03,0.03,-0.11
4693,-7.86,0.43,-5.45,-5.48,-1.72,-0.04,0.14
3751,-8.93,-5.60,-14.40,-8.32,-2.32,0.19,-0.09
