Team,OPR,Hub Endgame Fuel Count,Hub Total Fuel Count,Hub First Active Shift Count,Hub Second Active Shift Count,Minor Foul Count,Major Foul Count
4646,159.43,33.03,160.44,51.06,38.60,0.14,-0.09
111,138.49,21.33,137.02,41.25,34.55,0.61,-0.06
4143,131.91,33.38,124.77,37.62,27.48,0.48,-0.05
3928,130.82,31.69,129.09,43.60,31.16,0.35,-0.11
4065,130.02,30.17,115.99,31.33,38.97,0.05,-0.00
4174,130.01,40.00,133.13,31.79,21.56,-0.12,-0.06
5847,126.94,38.28,126.41,33.44,26.00,0.22,-0.11
695,111.97,29.52,112.22,32.98,26.71,0.29,-0.01
6419,107.05,29.27,107.39,33.31,31.14,0.46,0.06
7858,69.65,18.22,63.41,16.00,15.35,0.24,0.00
4663,69.53,14.11,53.93,17.09,14.76,0.10,-0.03
3061,69.51,9.73,68.29,17.77,9.08,0.74,0.06
2530,68.10,9.32,65.85,22.72,25.54,0.36,0.36
2220,59.43,16.28,54.74,15.93,18.55,0.35,0.34
9082,51.38,24.47,53.21,10.87,14.18,0.07,-0.18
967,51.02,11.06,46.01,7.25,19.63,0.02,0.28
7531,45.18,9.65,38.06,11.14,12.06,-0.19,-0.07
2987,40.74,8.12,41.17,11.17,8.35,0.12,0.29
4859,37.25,1.48,23.24,1.59,13.11,-0.13,-0.04
112,34.70,12.97,35.23,7.06,4.82,-0.21,-0.17
5822,31.99,5.68,29.79,10.11,8.83,-0.18,-0.09
2508,30.45,15.57,29.84,2.97,5.94,-0.26,-0.11
2977,29.20,13.63,28.49,8.61,5.28,0.25,0.07
2358,28.38,8.29,24.75,4.52,6.53,0.43,0.03
3206,26.88,4.47,27.50,12.78,4.44,-0.08,0.19
3055,26.26,12.62,25.27,3.97,5.21,0.33,0.21
11246,25.83,10.27,26.94,3.14,3.57,0.09,-0.01
7850,24.41,5.50,19.62,2.39,8.83,-0.13,-0.08
2549,23.47,6.57,26.53,9.47,3.89,0.46,0.35
167,22.55,3.09,19.64,-0.13,13.62,0.34,-0.03
3090,20.01,4.10,18.53,0.30,5.69,0.25,-0.04
2667,17.58,0.79,16.55,1.74,9.10,0.88,0.18
5914,14.89,7.39,7.29,-2.36,5.16,0.19,-0.05
525,14.64,2.82,17.69,7.32,2.37,0.51,-0.06
5541,12.45,-0.79,13.00,6.96,0.38,0.67,0.24
2531,7.76,6.96,9.39,-0.32,7.86,0.15,-0.17
3284,7.49,1.56,4.77,-0.54,-5.60,-0.13,0.21
5339,7.15,3.77,4.72,-5.09,0.53,-0.15,0.14
2290,6.49,-3.73,3.91,1.87,5.65,0.07,0.19
5576,-3.10,-1.22,-6.54,-2.63,-6.41,-0.25,-0.06
6420,-6.00,-9.55,-6.98,2.30,0.03,0.17,-0.21
