Team,OPR,Hub Endgame Fuel Count,Hub Total Fuel Count,Hub First Active Shift Count,Hub Second Active Shift Count,Minor Foul Count,Major Foul Count
7257,134.93,31.53,117.83,39.45,25.95,0.03,0.01
1710,125.46,24.23,121.18,32.90,27.45,-0.36,-0.03
3276,115.10,21.04,110.15,35.16,33.09,0.67,-0.16
4593,110.60,18.51,113.00,35.93,27.15,0.38,0.27
6175,102.22,23.54,102.16,31.31,29.39,0.47,-0.09
8255,94.76,24.72,95.59,21.73,26.30,-0.09,-0.06
2654,93.62,27.69,87.39,16.31,28.04,0.63,0.23
5653,91.99,21.89,91.76,23.01,26.35,-0.28,-0.01
11283,89.40,36.31,92.56,19.71,27.61,0.03,0.12
5638,88.77,23.16,84.45,24.21,31.52,0.20,-0.04
3277,87.52,34.35,90.13,24.18,21.97,0.99,0.08
7028,86.99,17.19,86.56,26.60,22.69,0.06,0.25
4607,85.94,19.96,83.49,17.83,15.55,0.41,0.11
876,78.56,15.03,78.19,30.52,16.43,-0.47,0.28
2883,78.14,11.36,76.49,17.31,12.42,-0.18,0.04
3293,76.37,18.75,56.96,22.91,8.72,-0.12,0.12
6146,64.64,19.10,64.02,17.46,13.85,0.20,0.04
4226,61.92,15.49,57.06,18.53,9.59,0.12,-0.11
4181,58.19,15.82,55.89,10.36,18.80,0.34,0.13
4539,52.24,3.68,51.96,25.91,12.58,-0.08,0.07
7578,51.12,10.28,49.58,15.85,7.57,-0.18,-0.06
4360,47.28,9.03,43.47,15.01,10.17,0.59,0.00
6709,45.13,18.03,43.96,8.60,9.02,-0.12,-0.08
3313,35.08,2.60,22.91,4.11,4.62,0.34,0.00
6749,34.82,6.02,34.77,11.27,8.52,-0.02,0.34
7068,31.18,11.55,27.15,7.81,4.82,0.04,-0.02
6453,29.54,12.14,31.43,5.34,9.99,0.37,0.02
4239,26.33,6.35,28.20,9.92,6.69,-0.05,0.13
3275,25.91,9.03,23.77,1.60,8.68,0.68,-0.15
5658,24.23,0.95,17.92,3.49,0.22,-0.43,0.10
4480,23.79,9.07,24.26,7.49,2.58,0.20,-0.01
3278,23.44,11.86,24.48,8.29,-1.83,0.16,0.17
9745,22.15,1.91,13.37,4.71,4.62,0.09,-0.08
8586,21.50,8.88,24.91,1.32,8.77,0.46,-0.09
6628,21.08,-0.75,19.10,6.38,3.71,-0.32,0.05
7235,19.62,6.79,19.26,0.88,4.45,-0.04,-0.05
8878,18.39,4.90,16.42,2.49,6.12,0.28,-0.12
7048,17.88,3.38,20.42,6.08,-0.16,0.18,-0.03
7530,17.32,3.27,18.99,-2.95,7.19,0.18,-0.04
7677,15.48,5.12,18.99,-1.09,7.21,-0.24,0.17
5929,15.29,0.59,13.88,2.76,8.84,0.04,-0.12
3134,10.47,2.15,5.65,-1.85,-3.06,0.13,0.00
3026,10.08,0.41,7.93,-1.35,4.41,0.51,-0.18
3023,8.80,2.44,9.06,-6.82,6.66,-0.19,0.01
877,4.72,-1.92,3.35,0.90,-5.96,0.29,0.07
3300,3.01,6.05,0.97,-5.89,0.48,-0.07,-0.01
4198,2.70,0.09,4.54,-0.71,-1.01,0.45,0.17
2450,-1.70,1.51,-4.35,-9.33,-1.40,-0.10,0.21
5464,-2.91,-0.86,-7.49,-4.60,-2.77,0.53,-0.01
8188,-6.84,-0.54,-7.17,-7.43,-5.52,1.18,0.16
10173,-10.31,-4.64,-14.48,-7.30,-7.05,-0.33,0.02
