Team,OPR,Hub Endgame Fuel Count,Hub Total Fuel Count,Hub First Active Shift Count,Hub Second Active Shift Count,Minor Foul Count,Major Foul Count
2910,408.46,110.25,402.52,88.63,102.69,-0.35,0.66
2046,287.91,80.63,285.29,58.26,71.23,-0.20,0.21
973,287.62,66.60,287.13,84.27,73.01,0.06,0.09
1796,264.47,48.46,264.91,70.84,62.25,0.51,0.42
9128,255.33,67.27,250.03,63.71,63.09,0.10,0.33
4400,243.41,72.01,241.37,55.90,63.70,0.51,0.03
1540,240.71,67.77,238.38,55.70,63.85,0.30,-0.00
695,226.16,64.36,219.37,52.92,41.34,0.55,-0.09
948,226.02,53.11,228.71,67.92,47.97,0.42,0.18
6036,220.53,51.82,215.30,49.84,56.47,0.26,0.22
5216,211.90,69.55,208.79,49.32,57.41,0.02,0.05
1922,211.38,63.30,210.29,57.07,66.75,-0.37,0.02
9408,209.29,48.17,202.42,57.78,27.85,0.14,0.01
5736,204.04,48.46,205.05,45.56,35.77,0.15,-0.13
1833,202.75,40.28,193.17,38.25,38.11,-0.19,0.04
5549,198.25,54.40,196.70,51.31,43.19,-0.10,-0.20
604,194.38,54.87,195.83,57.28,42.97,0.03,0.09
346,194.37,35.97,187.37,46.42,61.62,0.09,0.27
341,190.88,34.41,186.52,50.49,57.96,0.17,-0.01
3966,186.35,39.98,182.31,54.95,45.04,-0.04,0.14
6647,180.23,46.72,178.07,38.83,39.38,0.19,0.42
2052,179.00,54.53,175.58,38.64,24.55,0.06,-0.01
3256,178.57,29.44,184.61,66.64,34.14,0.40,0.02
8046,177.32,40.05,176.57,47.40,47.34,0.07,0.16
4206,174.86,38.65,175.00,54.28,44.18,0.09,-0.19
2996,173.64,37.21,163.11,46.96,45.20,-0.17,-0.02
599,172.98,45.38,174.16,52.65,39.41,0.13,0.07
687,172.69,41.38,173.48,56.57,24.27,-0.18,-0.11
195,167.38,30.99,163.10,55.81,43.97,0.12,-0.26
148,165.35,56.79,163.12,44.71,39.14,0.20,-0.11
8373,165.22,47.27,162.81,33.08,54.66,0.94,-0.38
868,163.34,44.42,162.83,48.40,39.79,0.12,-0.14
6436,162.44,44.98,163.87,40.96,44.88,-0.09,0.11
3276,162.05,40.41,156.15,38.84,39.31,-0.16,0.55
4561,159.70,24.13,159.65,54.98,29.22,0.19,0.49
930,159.15,39.27,161.09,38.87,55.27,0.14,-0.18
180,149.75,13.71,149.86,50.18,27.28,-0.07,0.10
2194,147.25,37.49,148.54,35.36,43.96,0.08,-0.23
3044,144.21,47.38,141.47,33.80,26.76,-0.30,-0.09
5951,141.88,70.03,137.37,23.16,23.19,0.53,0.10
3354,140.89,30.02,140.94,43.39,30.87,0.24,-0.37
9245,140.29,48.46,142.74,33.00,27.56,0.41,0.18
7160,132.48,46.75,126.75,29.59,36.85,0.14,-0.07
4590,131.66,32.25,128.88,36.35,31.65,-0.12,-0.11
2370,131.56,25.62,131.65,29.57,32.27,0.44,0.15
9067,130.99,43.39,124.31,33.16,23.14,0.27,0.30
2713,130.40,20.96,131.34,50.13,36.39,0.18,0.65
424,128.70,44.50,123.63,33.75,19.07,0.41,0.15
2067,125.18,13.79,126.82,36.27,27.32,0.27,0.16
6352,122.37,37.33,116.86,23.44,39.44,0.23,0.64
5948,121.82,24.44,113.43,35.98,28.57,-0.08,0.12
4099,119.87,28.48,107.83,21.84,36.44,0.04,0.09
1108,117.51,49.90,112.89,14.16,19.62,0.20,0.04
818,114.09,7.25,108.52,32.17,28.66,0.19,0.37
10903,113.17,30.50,108.31,32.55,13.23,-0.09,0.20
10291,110.12,35.30,113.00,25.20,44.88,0.21,-0.07
3005,108.56,15.97,104.46,28.11,33.32,-0.20,-0.02
88,107.80,40.52,106.51,21.45,17.96,-0.13,0.50
2783,104.57,-1.09,101.97,43.77,18.69,0.09,0.05
10553,102.15,24.64,100.11,23.87,11.07,-0.01,0.20
2586,97.62,25.95,95.46,31.37,5.87,-0.11,-0.26
386,97.24,30.59,97.31,17.09,30.85,0.71,0.26
9029,95.72,17.36,95.80,27.80,13.73,0.19,0.09
4253,90.23,30.70,92.62,21.30,15.07,0.07,-0.15
1577,89.96,20.16,85.94,28.41,24.86,-0.11,0.89
10935,87.13,6.26,79.54,31.47,18.98,0.54,0.02
11463,72.95,23.09,74.95,18.07,15.15,0.34,0.43
6988,65.52,14.79,58.20,11.43,20.47,0.19,0.08
1902,62.24,18.47,60.10,14.89,9.28,0.11,-0.05
233,62.17,25.22,58.99,9.47,17.94,0.16,-0.14
1807,60.55,21.79,59.16,4.14,12.16,0.11,0.03
9450,59.93,4.14,60.74,10.03,30.88,0.46,0.25
1884,48.04,30.51,46.37,5.58,5.72,0.17,0.50
5414,46.62,3.88,49.28,15.36,14.98,-0.06,0.02
10979,41.90,3.39,33.88,9.17,17.78,0.03,0.05
